,name,class,subclass
1197,酥糖,：糖、果脯和蜜饯、蜂蜜,：糖果
1198,酸三色糖,：糖、果脯和蜜饯、蜂蜜,：糖果
1199,夹心糖,：糖、果脯和蜜饯、蜂蜜,：糖果
1200,水果味软糖,：糖、果脯和蜜饯、蜂蜜,：糖果
1201,牛奶糖,：糖、果脯和蜜饯、蜂蜜,：糖果
1202,酸奶软糖,：糖、果脯和蜜饯、蜂蜜,：糖果
1203,太妃糖,：糖、果脯和蜜饯、蜂蜜,：糖果
1204,巧克力(充气),：糖、果脯和蜜饯、蜂蜜,：糖果
1205,巧克力(果仁),：糖、果脯和蜜饯、蜂蜜,：糖果
1206,巧克力(黑),：糖、果脯和蜜饯、蜂蜜,：糖果
1207,巧克力(牛奶),：糖、果脯和蜜饯、蜂蜜,：糖果
1208,海棠脯,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1209,李广杏脯,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1210,苹果脯,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1211,桃脯,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1212,杏脯,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1213,金糕条[山楂条],：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1214,山楂果丹皮,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1215,冰糖酸角,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1216,甘草杏,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1217,清凉杏肉,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1218,雪梅,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1219,九制梅肉,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1220,九制西梅,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1221,九制应子,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
